AL|ABEL|36258,DELTA
AL|ACMAR|35004,MOODY
AL|ALA GAS CORP|35295,BIRMINGHAM
AL|ALA POWER CO|36133,MONTGOMERY
AL|ALA STATE GOVT MAIL|36130,MONTGOMERY
AL|ALABAMA A AND M|35762,NORMAL
AL|ALABAMA PORT|36523,CODEN
AL|ALABAMA POWER CO|35291,BIRMINGHAM
AL|ALABAMA POWER CO|35292,BIRMINGHAM
AL|ALABASTER|35144,SILURIA
AL|ALDEN|35073,GRAYSVILLE
AL|ALEX CITY|35010,ALEXANDER CITY
AL|ALEX CITY|35011,ALEXANDER CITY
AL|ALFA INS CO|36191,MONTGOMERY
AL|ALLEN|36451,GROVE HILL
AL|ALMOND|36276,WADLEY
AL|ANNISTON|36203,OXFORD
AL|AQUILLA|36558,MILLRY
AL|ARKADELPHIA|35033,BREMEN
AL|ARLEY|35540,ADDISON
AL|ARMSTRONG|36089,UNION SPRINGS
AL|ATWOOD|35571,HODGES
AL|AUBURN UNIV|36849,AUBURN UNIVERSITY
AL|AUBURN UNVRSTY|36849,AUBURN UNIVERSITY
AL|AUBURN|36849,AUBURN UNIVERSITY
AL|AVONDALE|35222,BIRMINGHAM
AL|BAKERHILL|36027,EUFAULA
AL|BANKS|36061,PEROTE
AL|BARFIELD|36266,LINEVILLE
AL|BARLOW|36558,MILLRY
AL|BARNEY|35550,CORDOVA
AL|BASS ANGLERS SPORTS SOC|36141,MONTGOMERY
AL|BASSETTS CREEK|36585,WAGARVILLE
AL|BATTENS CROSSROADS|36316,CHANCELLOR
AL|BAYOU LABATRE|36509,BAYOU LA BATRE
AL|BAZEMORE|35559,GLEN ALLEN
AL|BELL FOUNTAIN|36567,ROBERTSDALE
AL|BENTON|36785,TYLER
AL|BERTHA|36353,NEWVILLE
AL|BERTHA|36374,SKIPPERVILLE
AL|BESS|35022,BESSEMER
AL|BEXAR|35570,HAMILTON
AL|BHAM|35229,BIRMINGHAM
AL|BHAM|35238,BIRMINGHAM
AL|BHAM|35246,BIRMINGHAM
AL|BHAM|35254,BIRMINGHAM
AL|BHAM|35260,BIRMINGHAM
AL|BHAM|35261,BIRMINGHAM
AL|BHAM|35266,BIRMINGHAM
AL|BHAM|35282,BIRMINGHAM
AL|BHAM|35283,BIRMINGHAM
AL|BHAM|35285,BIRMINGHAM
AL|BHAM|35287,BIRMINGHAM
AL|BHAM|35288,BIRMINGHAM
AL|BHAM|35290,BIRMINGHAM
AL|BHAM|35291,BIRMINGHAM
AL|BHAM|35292,BIRMINGHAM
AL|BHAM|35293,BIRMINGHAM
AL|BHAM|35294,BIRMINGHAM
AL|BHAM|35295,BIRMINGHAM
AL|BHAM|35296,BIRMINGHAM
AL|BHAM|35297,BIRMINGHAM
AL|BHAM|35298,BIRMINGHAM
AL|BIG COVE|35763,OWENS CROSS ROADS
AL|BIGBEE|36558,MILLRY
AL|BIRMINGHAM SOUTHERN COLLEGE|35254,BIRMINGHAM
AL|BLADON SPRINGS|36919,SILAS
AL|BLOSSBURG|35073,GRAYSVILLE
AL|BLOUNT SPRINGS|35079,HAYDEN
AL|BLUE CROSS-SHIELD|35298,BIRMINGHAM
AL|BLUE MOUNTAIN|36204,ANNISTON
AL|BLUE SPRINGS|36017,CLIO
AL|BLUFF PARK|35226,BIRMINGHAM
AL|BLUFF PARK|35244,BIRMINGHAM
AL|BLUFF SPRING|36251,ASHLAND
AL|BLUFF|35555,FAYETTE
AL|BOLINGER|36919,SILAS
AL|BOLLING|36033,GEORGIANA
AL|BORDEN SPRINGS|36272,PIEDMONT
AL|BRADLEY|36483,WING
AL|BRANCHVILLE|35120,ODENVILLE
AL|BRDN SPRNGS|36272,BORDEN SPRINGS
AL|BRDN SPRNGS|36272,PIEDMONT
AL|BRIGHTON|35020,BESSEMER
AL|BROMLEY|36507,BAY MINETTE
AL|BROOKLEY FIELD|36615,MOBILE
AL|BROOKLEY FLD|36615,BROOKLEY FIELD
AL|BROOKLEY FLD|36615,MOBILE
AL|BUENA VISTA|36425,BEATRICE
AL|BURKVILLE|36752,LOWNDESBORO
AL|BURNT CORN|36401,EVERGREEN
AL|BURNTOUT|35593,VINA
AL|BUSINESS REPLY MAIL|35282,BIRMINGHAM
AL|CAHABA HEIGHTS|35243,BIRMINGHAM
AL|CAHABA HTS|35243,BIRMINGHAM
AL|CAHABA HTS|35243,CAHABA HEIGHTS
AL|CALLER BOXES|35283,BIRMINGHAM
AL|CAMPBELLS CROSSROADS|36266,LINEVILLE
AL|CANOE|36502,ATMORE
AL|CARR MILL|36251,ASHLAND
AL|CARSON|36548,LEROY
AL|CENTER POINT|35215,BIRMINGHAM
AL|CENTER POINT|35220,BIRMINGHAM
AL|CENTER POINT|35235,BIRMINGHAM
AL|CENTERPOINT|35220,BIRMINGHAM
AL|CENTERPOINT|35235,BIRMINGHAM
AL|CENTRAL|36024,ECLECTIC
AL|CHANCE|36751,LOWER PEACH TREE
AL|CHASTANG|36560,MOUNT VERNON
AL|CHESTNUT GROVE|36346,JACK
AL|CHICKASAW|36611,MOBILE
AL|CHICKASAW|36671,MOBILE
AL|CHISOLM|36110,MONTGOMERY
AL|CHRISTIANA|36258,DELTA
AL|CHRYSLER|36480,URIAH
