APARTMENT,APT
BASEMENT,BSMT
BUILDING,BLDG
DEPARTMENT,DEPT
FLOOR,FL
FRONT,FRNT
HANGER,HNGR
LOBBY,LBBY
LOWER,LOWR
OFFICE,OFC
PENTHOUSE,PH
ROOM,RM
SPACE,SPC
SUITE,STE
TRAILER,TRLR
UPPER,UPPR
