#,UNIT
FORGE,SUFFIX1
FORGES,SUFFIX1
FORK,SUFFIX1
FORKS,SUFFIX1
FORT,SUFFIX1
FRD,SUFFIX1
FRDS,SUFFIX1
FREEWAY,SUFFIX1
FREEWY,SUFFIX1
FRG,SUFFIX1
FRGS,SUFFIX1
FRK,SUFFIX1
FRKS,SUFFIX1
FRNT,UNIT
FRONT,UNIT
FRRY,SUFFIX1
FRST,SUFFIX1
FRT,SUFFIX1
FRWAY,SUFFIX1
FRWY,SUFFIX1
FRY,SUFFIX1
FT,SUFFIX1
FWY,SUFFIX1
GA,ST_SPECIAL
GARDEN,SUFFIX1
GARDENS,SUFFIX1
GARDN,SUFFIX1
GATE,SUFFIX1
GATEWAY,SUFFIX1
GATEWY,SUFFIX1
GATWAY,SUFFIX1
GDN,SUFFIX1
GDNS,SUFFIX1
GLEN,SUFFIX1
GLENS,SUFFIX1
GLN,SUFFIX1
GLNS,SUFFIX1
GRDEN,SUFFIX1
GRDN,SUFFIX1
GRDNS,SUFFIX1
GREEN,SUFFIX1
GREENS,SUFFIX1
GRN,SUFFIX1
GRNS,SUFFIX1
GROV,SUFFIX1
GROVE,SUFFIX1
GROVES,SUFFIX1
GRV,SUFFIX1
GRVS,SUFFIX1
GTWAY,SUFFIX1
GTWY,SUFFIX1
HANGER,UNIT
HARB,SUFFIX1
HARBOR,SUFFIX1
HARBORS,SUFFIX1
HARBOUR,SUFFIX1
HARBR,SUFFIX1
HAVEN,SUFFIX1
HBR,SUFFIX1
HBRS,SUFFIX1
HEIGHTS,SUFFIX1
HI,ST_SPECIAL
HIGHWAY,SUFFIX2
HIGHWY,SUFFIX2
HILL,SUFFIX1
HILLS,SUFFIX1
HIWAY,SUFFIX2
HIWY,SUFFIX2
HL,SUFFIX1
HLLW,SUFFIX1
HLS,SUFFIX1
HNGR,UNIT
HOLLOW,SUFFIX1
HOLLOWS,SUFFIX1
HOLW,SUFFIX1
HOLWS,SUFFIX1
HRBOR,SUFFIX1
HRBR,SUFFIX1
HT,SUFFIX1
HTS,SUFFIX1
HVN,SUFFIX1
HW,SUFFIX2
HWAY,SUFFIX2
HWY,SUFFIX2
HY,SUFFIX2
IA,ST_SPECIAL
ID,ST_SPECIAL
IL,ST_SPECIAL
IMP,SUFFIX1
IN,ST_SPECIAL
INLET,SUFFIX1
INLT,SUFFIX1
INTERSTATE,ST_SPECIAL
IS,SUFFIX1
ISLAND,SUFFIX1
ISLANDS,SUFFIX1
ISLE,SUFFIX1
ISLES,SUFFIX1
ISLND,SUFFIX1
ISLNDS,SUFFIX1
ISS,SUFFIX1
JCT,SUFFIX1
JCTION,SUFFIX1
JCTN,SUFFIX1
JCTNS,SUFFIX1
JCTS,SUFFIX1
JUNCTION,SUFFIX1
JUNCTIONS,SUFFIX1
JUNCTN,SUFFIX1
JUNCTON,SUFFIX1
KEY,UNIT
KEYS,SUFFIX1
KNL,SUFFIX1
KNLS,SUFFIX1
KNOL,SUFFIX1
KNOLL,SUFFIX1
KNOLLS,SUFFIX1
KS,ST_SPECIAL
KY,SUFFIX1
KYS,SUFFIX1
L,PREFIX
L',PREFIX
LA,PREFIX
LAKE,SUFFIX1
LAKES,SUFFIX1
LAND,SUFFIX1
LANDING,SUFFIX1
LANE,SUFFIX1
LBBY,UNIT
LCK,SUFFIX1
LCKS,SUFFIX1
LDG,SUFFIX1
LDGE,SUFFIX1
LE,PREFIX
LES,PREFIX
LF,SUFFIX1
LGT,SUFFIX1
LGTS,SUFFIX1
LIGHT,SUFFIX1
LIGHTS,SUFFIX1
LINE,SUFFIX1
LINK,SUFFIX1
LK,SUFFIX1
LKS,SUFFIX1
LN,SUFFIX1
LNDG,SUFFIX1
LNDNG,SUFFIX1
LOAF,SUFFIX1
LOBBY,UNIT
LOCK,SUFFIX1
LOCKS,SUFFIX1
LODG,SUFFIX1
LODGE,SUFFIX1
LOOP,SUFFIX1
LOOPS,SUFFIX1
LOT,UNIT
LOWER,UNIT
LOWR,UNIT
MA,ST_SPECIAL
MALL,SUFFIX1
MANOR,SUFFIX1
MANORS,SUFFIX1
MD,ST_SPECIAL
MDOW,SUFFIX1
MDW,SUFFIX1
MDWS,SUFFIX1
ME,ST_SPECIAL
MEADOW,SUFFIX1
MEADOWS,SUFFIX1
MEDOWS,SUFFIX1
MEWS,SUFFIX1
MI,ST_SPECIAL
MILL,SUFFIX1
MILLS,SUFFIX1
MISSION,SUFFIX1
MISSN,SUFFIX1
ML,SUFFIX1
MLS,SUFFIX1
MN,ST_SPECIAL
MNR,SUFFIX1
MNRS,SUFFIX1
MNT,SUFFIX1
MNTAIN,SUFFIX1
MNTN,SUFFIX1
MNTNS,SUFFIX1
MO,ST_SPECIAL
MOTORWAY,SUFFIX1
MOUNT,SUFFIX1
MOUNTAIN,SUFFIX1
MOUNTAINS,SUFFIX1
MOUNTIN,SUFFIX1
MS,ST_SPECIAL
MSN,SUFFIX1
MSSN,SUFFIX1
MT,SUFFIX1
MTEE,SUFFIX1
MTIN,SUFFIX1
MTN,SUFFIX1
MTNS,SUFFIX1
MTWY,SUFFIX1
N,DIR
NC,ST_SPECIAL
NCK,SUFFIX1
ND,ST_SPECIAL
NE,DIR
NECK,SUFFIX1
NH,ST_SPECIAL
NJ,ST_SPECIAL
NM,ST_SPECIAL
NO,DIR
NORTH,DIR
NORTHEAST,DIR
NORTHWEST,DIR
NV,ST_SPECIAL
NW,DIR
NY,ST_SPECIAL
OFC,UNIT
OFFICE,UNIT
OH,ST_SPECIAL
OK,ST_SPECIAL
OPAS,SUFFIX1
OR,ST_SPECIAL
ORCH,SUFFIX1
ORCHARD,SUFFIX1
ORCHRD,SUFFIX1
OVAL,SUFFIX1
OVERPASS,SUFFIX1
OVL,SUFFIX1
PA,ST_SPECIAL
PARK,SUFFIX1
PARKS,SUFFIX1
PARKWAY,SUFFIX1
PARKWAYS,SUFFIX1
PARKWY,SUFFIX1
PASS,SUFFIX1
PATH,SUFFIX1
PATHS,SUFFIX1
PENTHOUSE,UNIT
PH,UNIT
PIER,UNIT
PIKE,SUFFIX1
PIKES,SUFFIX1
PINE,SUFFIX1
PINES,SUFFIX1
PK,SUFFIX1
PKW,SUFFIX1
PKWAY,SUFFIX1
PKWY,SUFFIX1
PKWYS,SUFFIX1
PKY,SUFFIX1
PL,SUFFIX1
PLAIN,SUFFIX1
PLAINS,SUFFIX1
PLAT,SUFFIX1
PLN,SUFFIX1
PLNS,SUFFIX1
PLZ,SUFFIX1
PNE,SUFFIX1
PNES,SUFFIX1
POINT,SUFFIX1
POINTS,SUFFIX1
PORTS,SUFFIX1
PR,SUFFIX1
PRK,SUFFIX1
PROM,FR_SUFFIX
PRR,SUFFIX1
PRT,SUFFIX1
PRTS,SUFFIX1
PSGE,SUFFIX1
PT,SUFFIX1
PTS,SUFFIX1
PW,SUFFIX1
PY,SUFFIX1
QUAY,SUFFIX1
RAD,SUFFIX1
RADIAL,SUFFIX1
RADIEL,SUFFIX1
RADL,SUFFIX1
RAMP,SUFFIX1
RANCH,SUFFIX1
RANCHES,SUFFIX1
RAPID,SUFFIX1
RAPIDS,SUFFIX1
RD,SUFFIX1
RDG,SUFFIX1
RDGE,SUFFIX1
RDGS,SUFFIX1
RDS,SUFFIX1
REAR,UNIT
REST,SUFFIX1
RG,SUFFIX1
RI,ST_SPECIAL
RIDGE,SUFFIX1
RIDGES,SUFFIX1
RISE,SUFFIX1
RIV,SUFFIX1
RIVER,SUFFIX1
RIVR,SUFFIX1
RM,UNIT
RNCH,SUFFIX1
RNCHS,SUFFIX1
ROAD,SUFFIX1
ROADS,SUFFIX1
ROOM,UNIT
ROW,SUFFIX1
RPD,SUFFIX1
RPDS,SUFFIX1
RST,SUFFIX1
RTE,SUFFIX2
RUN,SUFFIX1
RVR,SUFFIX1
S,DIR
SC,ST_SPECIAL
SD,ST_SPECIAL
SE,DIR
SENT,SUFFIX1
SHL,SUFFIX1
SHLS,SUFFIX1
SHOAL,SUFFIX1
SHOALS,SUFFIX1
SHOAR,SUFFIX1
SHOARS,SUFFIX1
SHORE,SUFFIX1
SHORES,SUFFIX1
SHR,SUFFIX1
SHRS,SUFFIX1
SIDE,UNIT
SKWY,SUFFIX1
SKYWAY,SUFFIX1
SLIP,UNIT
